Tanggal,Saham_BBCA
22/07/2020,6180
21/07/2020,6200
20/07/2020,6140
17/07/2020,6120
16/07/2020,6180
15/07/2020,6150
14/07/2020,6200
13/07/2020,6175
10/7/2020,6200
9/7/2020,6100
8/7/2020,6200
7/7/2020,5990
6/7/2020,5935
3/7/2020,5870
2/7/2020,5870
1/7/2020,5800
30/06/2020,5695
29/06/2020,5675
26/06/2020,5645
25/06/2020,5725
24/06/2020,5705
23/06/2020,5620
22/06/2020,5540
19/06/2020,5575
18/06/2020,5585
17/06/2020,5720
16/06/2020,5760
15/06/2020,5500
12/6/2020,5670
11/6/2020,5680
10/6/2020,5800
9/6/2020,5805
8/6/2020,5900
5/6/2020,5725
4/6/2020,5790
3/6/2020,5780
2/6/2020,5360
29/05/2020,5190
28/05/2020,5295
27/05/2020,4965
26/05/2020,4970
20/05/2020,4765
19/05/2020,4680
18/05/2020,4765
15/05/2020,4785
14/05/2020,4920
13/05/2020,5110
12/5/2020,5220
11/5/2020,5295
8/5/2020,5245
6/5/2020,5355
5/5/2020,5285
4/5/2020,5220
30/04/2020,5170
29/04/2020,4850
28/04/2020,4830
27/04/2020,4960
24/04/2020,4920
23/04/2020,5120
22/04/2020,5145
21/04/2020,5160
20/04/2020,5355
17/04/2020,5425
16/04/2020,5240
15/04/2020,5485
14/04/2020,5515
13/04/2020,5500
9/4/2020,5595
8/4/2020,5635
7/4/2020,5655
6/4/2020,5735
3/4/2020,5495
2/4/2020,5410
1/4/2020,5480
31/03/2020,5525
30/03/2020,5495
27/03/2020,5510
26/03/2020,5280
24/03/2020,4500
23/03/2020,4430
20/03/2020,4735
19/03/2020,4650
18/03/2020,5000
17/03/2020,5120
16/03/2020,5505
13/03/2020,5660
12/3/2020,5560
11/3/2020,5850
10/3/2020,5925
9/3/2020,5785
6/3/2020,6200
5/3/2020,6435
4/3/2020,6440
3/3/2020,6320
2/3/2020,6080
28/02/2020,6290
27/02/2020,6290
26/02/2020,6420
25/02/2020,6530
24/02/2020,6525
21/02/2020,6615
20/02/2020,6595
19/02/2020,6695
18/02/2020,6695
17/02/2020,6720
14/02/2020,6680
13/02/2020,6790
12/2/2020,6800
11/2/2020,6780
10/2/2020,6785
